"filename", "language", "JavaScript", "JSON with Comments", "TypeScript", "JSON", "comment", "blank", "total"
"c:\Users\Alireza Ezlegini\Desktop\_Apps\New folder (2)\pacsaz\packages\dieline-core\eslint.config.mjs", "JavaScript", 2, 0, 0, 0, 1, 2, 5
"c:\Users\Alireza Ezlegini\Desktop\_Apps\New folder (2)\pacsaz\packages\dieline-core\package.json", "JSON", 0, 0, 0, 22, 0, 1, 23
"c:\Users\Alireza Ezlegini\Desktop\_Apps\New folder (2)\pacsaz\packages\dieline-core\src\categories\boxes\home-dieline.ts", "TypeScript", 0, 0, 229, 0, 7, 26, 262
"c:\Users\Alireza Ezlegini\Desktop\_Apps\New folder (2)\pacsaz\packages\dieline-core\src\categories\boxes\tuck-end-snap-lock.ts", "TypeScript", 0, 0, 204, 0, 7, 19, 230
"c:\Users\Alireza Ezlegini\Desktop\_Apps\New folder (2)\pacsaz\packages\dieline-core\src\categories\boxes\tuck-end.ts", "TypeScript", 0, 0, 228, 0, 7, 26, 261
"c:\Users\Alireza Ezlegini\Desktop\_Apps\New folder (2)\pacsaz\packages\dieline-core\src\categories\cards\postal-card.ts", "TypeScript", 0, 0, 92, 0, 3, 7, 102
"c:\Users\Alireza Ezlegini\Desktop\_Apps\New folder (2)\pacsaz\packages\dieline-core\src\core\consts.ts", "TypeScript", 0, 0, 211, 0, 3, 16, 230
"c:\Users\Alireza Ezlegini\Desktop\_Apps\New folder (2)\pacsaz\packages\dieline-core\src\core\helpers\addAnchor.ts", "TypeScript", 0, 0, 14, 0, 0, 3, 17
"c:\Users\Alireza Ezlegini\Desktop\_Apps\New folder (2)\pacsaz\packages\dieline-core\src\core\helpers\addDimensions.ts", "TypeScript", 0, 0, 128, 0, 6, 28, 162
"c:\Users\Alireza Ezlegini\Desktop\_Apps\New folder (2)\pacsaz\packages\dieline-core\src\core\helpers\addDoor.ts", "TypeScript", 0, 0, 85, 0, 9, 17, 111
"c:\Users\Alireza Ezlegini\Desktop\_Apps\New folder (2)\pacsaz\packages\dieline-core\src\core\helpers\addDust.ts", "TypeScript", 0, 0, 115, 0, 15, 15, 145
"c:\Users\Alireza Ezlegini\Desktop\_Apps\New folder (2)\pacsaz\packages\dieline-core\src\core\helpers\addFillet.ts", "TypeScript", 0, 0, 101, 0, 0, 25, 126
"c:\Users\Alireza Ezlegini\Desktop\_Apps\New folder (2)\pacsaz\packages\dieline-core\src\core\helpers\addFoldLine.ts", "TypeScript", 0, 0, 14, 0, 0, 5, 19
"c:\Users\Alireza Ezlegini\Desktop\_Apps\New folder (2)\pacsaz\packages\dieline-core\src\core\helpers\addGlue.ts", "TypeScript", 0, 0, 44, 0, 0, 5, 49
"c:\Users\Alireza Ezlegini\Desktop\_Apps\New folder (2)\pacsaz\packages\dieline-core\src\core\helpers\addGuideline.ts", "TypeScript", 0, 0, 142, 0, 6, 27, 175
"c:\Users\Alireza Ezlegini\Desktop\_Apps\New folder (2)\pacsaz\packages\dieline-core\src\core\helpers\addHoleArc.ts", "TypeScript", 0, 0, 25, 0, 0, 6, 31
"c:\Users\Alireza Ezlegini\Desktop\_Apps\New folder (2)\pacsaz\packages\dieline-core\src\core\helpers\addLine.ts", "TypeScript", 0, 0, 16, 0, 0, 4, 20
"c:\Users\Alireza Ezlegini\Desktop\_Apps\New folder (2)\pacsaz\packages\dieline-core\src\core\helpers\addModelToLayer.ts", "TypeScript", 0, 0, 10, 0, 0, 2, 12
"c:\Users\Alireza Ezlegini\Desktop\_Apps\New folder (2)\pacsaz\packages\dieline-core\src\core\helpers\addOverallDimensionGuides.ts", "TypeScript", 0, 0, 47, 0, 2, 7, 56
"c:\Users\Alireza Ezlegini\Desktop\_Apps\New folder (2)\pacsaz\packages\dieline-core\src\core\helpers\addSeam.ts", "TypeScript", 0, 0, 10, 0, 0, 3, 13
"c:\Users\Alireza Ezlegini\Desktop\_Apps\New folder (2)\pacsaz\packages\dieline-core\src\core\helpers\addSnapLock.ts", "TypeScript", 0, 0, 243, 0, 8, 46, 297
"c:\Users\Alireza Ezlegini\Desktop\_Apps\New folder (2)\pacsaz\packages\dieline-core\src\core\helpers\applyDimensionOffset.ts", "TypeScript", 0, 0, 15, 0, 0, 2, 17
"c:\Users\Alireza Ezlegini\Desktop\_Apps\New folder (2)\pacsaz\packages\dieline-core\src\core\helpers\bleedGenerator.ts", "TypeScript", 0, 0, 32, 0, 0, 9, 41
"c:\Users\Alireza Ezlegini\Desktop\_Apps\New folder (2)\pacsaz\packages\dieline-core\src\core\helpers\buildTrimModel.ts", "TypeScript", 0, 0, 4, 0, 0, 2, 6
"c:\Users\Alireza Ezlegini\Desktop\_Apps\New folder (2)\pacsaz\packages\dieline-core\src\core\helpers\calculateDustHoleSize.ts", "TypeScript", 0, 0, 10, 0, 0, 1, 11
"c:\Users\Alireza Ezlegini\Desktop\_Apps\New folder (2)\pacsaz\packages\dieline-core\src\core\helpers\calculateSafeFoldOffset.ts", "TypeScript", 0, 0, 9, 0, 0, 7, 16
"c:\Users\Alireza Ezlegini\Desktop\_Apps\New folder (2)\pacsaz\packages\dieline-core\src\core\helpers\calculateTuckflapSize.ts", "TypeScript", 0, 0, 7, 0, 0, 1, 8
"c:\Users\Alireza Ezlegini\Desktop\_Apps\New folder (2)\pacsaz\packages\dieline-core\src\core\helpers\cloneMirrorMove.ts", "TypeScript", 0, 0, 22, 0, 0, 3, 25
"c:\Users\Alireza Ezlegini\Desktop\_Apps\New folder (2)\pacsaz\packages\dieline-core\src\core\helpers\containerGenerator.ts", "TypeScript", 0, 0, 28, 0, 0, 8, 36
"c:\Users\Alireza Ezlegini\Desktop\_Apps\New folder (2)\pacsaz\packages\dieline-core\src\core\helpers\contextCreator.ts", "TypeScript", 0, 0, 26, 0, 0, 5, 31
"c:\Users\Alireza Ezlegini\Desktop\_Apps\New folder (2)\pacsaz\packages\dieline-core\src\core\helpers\dimensionResolver.ts", "TypeScript", 0, 0, 63, 0, 0, 9, 72
"c:\Users\Alireza Ezlegini\Desktop\_Apps\New folder (2)\pacsaz\packages\dieline-core\src\core\helpers\drawFoldLines.ts", "TypeScript", 0, 0, 29, 0, 0, 7, 36
"c:\Users\Alireza Ezlegini\Desktop\_Apps\New folder (2)\pacsaz\packages\dieline-core\src\core\helpers\drawGuideLines.ts", "TypeScript", 0, 0, 72, 0, 0, 11, 83
"c:\Users\Alireza Ezlegini\Desktop\_Apps\New folder (2)\pacsaz\packages\dieline-core\src\core\helpers\drawSingleLines.ts", "TypeScript", 0, 0, 15, 0, 0, 6, 21
"c:\Users\Alireza Ezlegini\Desktop\_Apps\New folder (2)\pacsaz\packages\dieline-core\src\core\helpers\extractPathDs.ts", "TypeScript", 0, 0, 6, 0, 0, 3, 9
"c:\Users\Alireza Ezlegini\Desktop\_Apps\New folder (2)\pacsaz\packages\dieline-core\src\core\helpers\getDistance.ts", "TypeScript", 0, 0, 32, 0, 0, 8, 40
"c:\Users\Alireza Ezlegini\Desktop\_Apps\New folder (2)\pacsaz\packages\dieline-core\src\core\helpers\getLastPoint.ts", "TypeScript", 0, 0, 20, 0, 0, 7, 27
"c:\Users\Alireza Ezlegini\Desktop\_Apps\New folder (2)\pacsaz\packages\dieline-core\src\core\helpers\getPathXYLength.ts", "TypeScript", 0, 0, 13, 0, 0, 5, 18
"c:\Users\Alireza Ezlegini\Desktop\_Apps\New folder (2)\pacsaz\packages\dieline-core\src\core\helpers\getSizes.ts", "TypeScript", 0, 0, 12, 0, 0, 2, 14
"c:\Users\Alireza Ezlegini\Desktop\_Apps\New folder (2)\pacsaz\packages\dieline-core\src\core\helpers\getWidthAndHeightOfModel.ts", "TypeScript", 0, 0, 9, 0, 0, 3, 12
"c:\Users\Alireza Ezlegini\Desktop\_Apps\New folder (2)\pacsaz\packages\dieline-core\src\core\helpers\glueMapper.ts", "TypeScript", 0, 0, 27, 0, 0, 6, 33
"c:\Users\Alireza Ezlegini\Desktop\_Apps\New folder (2)\pacsaz\packages\dieline-core\src\core\helpers\initiateModels.ts", "TypeScript", 0, 0, 61, 0, 1, 15, 77
"c:\Users\Alireza Ezlegini\Desktop\_Apps\New folder (2)\pacsaz\packages\dieline-core\src\core\helpers\injectWatermark.ts", "TypeScript", 0, 0, 59, 0, 0, 6, 65
"c:\Users\Alireza Ezlegini\Desktop\_Apps\New folder (2)\pacsaz\packages\dieline-core\src\core\helpers\isPackagingSizeLogical.ts", "TypeScript", 0, 0, 4, 0, 0, 2, 6
"c:\Users\Alireza Ezlegini\Desktop\_Apps\New folder (2)\pacsaz\packages\dieline-core\src\core\helpers\mapDimensions.ts", "TypeScript", 0, 0, 6, 0, 0, 2, 8
"c:\Users\Alireza Ezlegini\Desktop\_Apps\New folder (2)\pacsaz\packages\dieline-core\src\core\helpers\modelBuilder.ts", "TypeScript", 0, 0, 67, 0, 0, 7, 74
"c:\Users\Alireza Ezlegini\Desktop\_Apps\New folder (2)\pacsaz\packages\dieline-core\src\core\helpers\pointBuilder.ts", "TypeScript", 0, 0, 31, 0, 2, 6, 39
"c:\Users\Alireza Ezlegini\Desktop\_Apps\New folder (2)\pacsaz\packages\dieline-core\src\core\helpers\pushModelSeparatly.ts", "TypeScript", 0, 0, 36, 0, 3, 4, 43
"c:\Users\Alireza Ezlegini\Desktop\_Apps\New folder (2)\pacsaz\packages\dieline-core\src\core\helpers\squareDiagonal.ts", "TypeScript", 0, 0, 3, 0, 0, 1, 4
"c:\Users\Alireza Ezlegini\Desktop\_Apps\New folder (2)\pacsaz\packages\dieline-core\src\core\helpers\svgExporter.ts", "TypeScript", 0, 0, 69, 0, 0, 5, 74
"c:\Users\Alireza Ezlegini\Desktop\_Apps\New folder (2)\pacsaz\packages\dieline-core\src\core\types.ts", "TypeScript", 0, 0, 136, 0, 0, 18, 154
"c:\Users\Alireza Ezlegini\Desktop\_Apps\New folder (2)\pacsaz\packages\dieline-core\src\hooks\useDebouncedCallback.ts", "TypeScript", 0, 0, 13, 0, 0, 4, 17
"c:\Users\Alireza Ezlegini\Desktop\_Apps\New folder (2)\pacsaz\packages\dieline-core\src\hooks\useDielineGenerator.ts", "TypeScript", 0, 0, 89, 0, 0, 9, 98
"c:\Users\Alireza Ezlegini\Desktop\_Apps\New folder (2)\pacsaz\packages\dieline-core\src\hooks\useLoading.ts", "TypeScript", 0, 0, 22, 0, 0, 6, 28
"c:\Users\Alireza Ezlegini\Desktop\_Apps\New folder (2)\pacsaz\packages\dieline-core\src\hooks\useSize.ts", "TypeScript", 0, 0, 21, 0, 0, 7, 28
"c:\Users\Alireza Ezlegini\Desktop\_Apps\New folder (2)\pacsaz\packages\dieline-core\src\registery.ts", "TypeScript", 0, 0, 11, 0, 0, 3, 14
"c:\Users\Alireza Ezlegini\Desktop\_Apps\New folder (2)\pacsaz\packages\dieline-core\src\utils\format.ts", "TypeScript", 0, 0, 5, 0, 0, 1, 6
"c:\Users\Alireza Ezlegini\Desktop\_Apps\New folder (2)\pacsaz\packages\dieline-core\src\utils\formatDimensions.ts", "TypeScript", 0, 0, 15, 0, 0, 3, 18
"c:\Users\Alireza Ezlegini\Desktop\_Apps\New folder (2)\pacsaz\packages\dieline-core\src\utils\getThicknessRange.ts", "TypeScript", 0, 0, 10, 0, 0, 3, 13
"c:\Users\Alireza Ezlegini\Desktop\_Apps\New folder (2)\pacsaz\packages\dieline-core\src\utils\isPackagingSizeLogical.ts", "TypeScript", 0, 0, 4, 0, 0, 2, 6
"c:\Users\Alireza Ezlegini\Desktop\_Apps\New folder (2)\pacsaz\packages\dieline-core\src\utils\mapDimensions.ts", "TypeScript", 0, 0, 6, 0, 0, 2, 8
"c:\Users\Alireza Ezlegini\Desktop\_Apps\New folder (2)\pacsaz\packages\dieline-core\src\utils\sizeConvertor.ts", "TypeScript", 0, 0, 15, 0, 0, 6, 21
"c:\Users\Alireza Ezlegini\Desktop\_Apps\New folder (2)\pacsaz\packages\dieline-core\tsconfig.json", "JSON with Comments", 0, 9, 0, 0, 0, 1, 10
"c:\Users\Alireza Ezlegini\Desktop\_Apps\New folder (2)\pacsaz\packages\dieline-core\tsconfig.tsbuildinfo", "JSON", 0, 0, 0, 1, 0, 0, 1
"Total", "-", 2, 9, 3092, 23, 80, 508, 3714
